33.988,223.52,82.451,588.34,157.5,92.167,298.57,611.21,186.53,180.53,724.88,437.61,145.23,73.351,371.07,1132.7,1957.1,46.944,3380.3,2894.9,3430.3,1515.8,634.59,2129,245.99,4532.6,3427.5,804.42,443.85,346.64,824.42,374.95,546.68,1732.5,1617.7,1165.2,994.2,433.2,719.51,384.97
266.21,89.073,67.112,115.29,466.65,125.19,978.07,570.37,1076.4,169.96,639.1,37.694,991.54,569.1,796.5,1877.9,1218,293.22,875.64,1499.9,986.68,408.27,4192,1023.3,145.11,844.21,127.95,683.01,2014.7,211.23,522.03,3388.7,4257.5,3532.6,393.55,456.99,1410.3,416.89,1756.2,2260.9
153.85,492.23,710.48,70.319,45.649,1666.8,2143.4,2741,1718.7,448.63,52.105,1996.7,1770.7,1272.9,582.45,1209.6,1043.2,3763.1,189.46,235.15,436.13,638.3,2234.5,209.92,1852.5,385.61,2139.4,1605.3,1105.7,198.97,1703.3,1529.8,249.13,176.57,2099.2,3056.8,1263.4,720.42,1177.5,578.65
471.96,311.37,574.22,150.76,677.69,345.17,1005.7,114.75,938.41,262.33,833.35,1060.8,312.4,2433.7,2600.2,832.65,164.99,4702.3,1184.4,263.13,323.73,668.07,205.72,74.207,181.92,440.86,2014.8,395.7,975.05,1924.7,3136.6,772.93,409.82,596.06,1293.9,1048.5,1880.8,773.39,1005.9,367.19
304.49,128.53,327.13,546.38,692.65,783.53,158.93,1297,1475.5,889.4,1619,93.958,803.13,322.51,633.27,364.07,1415.9,5621.8,2500,1816.6,302.07,299.35,1110.6,453.62,477.69,63.512,1766.4,1993.8,318.42,894.65,441.87,1784.3,693.39,2734.5,1052.7,1946.5,2547.3,973.4,3308.4,627.3
361.04,105.01,276.44,157.31,418.32,399.92,294.54,2605.5,490.39,454.55,1569.7,370.34,292.69,176.89,88.386,396.79,1539.7,692.92,1202.4,1207.9,4884.6,416.31,660.75,671.84,369.4,41.859,89.465,1163,709.19,1349.9,1002.5,1162,113.88,2350.6,1254.9,41.097,1466,1569.8,151.79,448.74
496.27,297.16,441.6,116.05,55.062,1387.5,28.795,3471.3,536.52,305.38,1425.6,77.13,1041.9,319.84,100.27,250.72,4120.1,1281.1,1324,605.35,172.89,611.86,1241.1,308.79,1163.6,929.44,3346.7,688.95,3292.5,1284.2,851.74,554.64,58.363,210.56,2002,842.53,131.18,196.98,1256.3,1934.4
218.27,480.54,184.33,77.222,148.54,264.81,827.92,171.43,183.21,1738.4,48.391,2731.9,1306.6,498.98,1943.1,1202.2,1099.6,456.15,436.9,824.19,742.71,399.66,3224.4,4390.3,2783.3,1014.9,357.62,1441.4,119.88,130.21,266.36,1382.7,963.08,985.97,382.63,244.01,367.16,353.58,431.82,277.01
38.566,468.02,364.6,175.64,171,261.9,587.28,199.52,2063.7,1624.2,1141.4,476.99,38.837,717.46,603.96,1389.1,74.491,106.32,3054.1,3326.8,3014.7,82.208,3926,545.64,1751.9,390.44,1623.8,884.66,1866.7,96.346,305.58,879.78,765.45,2089,622.4,1845.3,184.1,1365,105.2,1334.3
94.01,242.05,219.61,1399.9,963.01,508.82,1316.7,1617.9,1685.6,1906.3,243.11,829.97,563.05,97.871,645.33,1312,646.84,1085.6,1150.1,979.69,162.87,2825.7,2066,1427.6,449.58,216.21,218.81,184.04,1082.3,883.13,403.7,755.53,111.22,388.55,1332.5,2374.1,1056.2,547.26,423.52,1794.7
