47.647,46.184
295.66,291.73
25.694,24.154
229.16,226.42
133.32,134.13
142.04,138.86
141.4,138.33
213.78,210.89
66.818,63.022
277.57,274.55
162.32,162.69
234.49,236.21
181.7,179
370.77,368.97
184.92,182.04
61.482,58.837
284.86,283.08
169.98,163.85
194.48,190.08
128.37,127.93
290.13,285.79
752.13,748
33.977,30.437
131.19,125.98
301.5,299.38
273.99,271.51
69.087,67.614
56.834,52.519
292.91,291.47
793.05,789.93
417.76,413.19
35.631,34.565
161.53,158.65
156.75,157.22
898.74,895.94
116.94,114.16
103.83,100.77
332.55,329.42
286.69,283.12
46.587,43.233
594.8,592.69
127.5,125.44
142.08,138.23
55.128,53.161
87.617,83.828
109.36,105.26
314.05,309.13
104.37,102.85
205.33,203.64
54.249,51.065
86.7,82.316
124.8,121.51
606.12,610.64
238.65,233.28
46.37,44.088
147.57,223.32
210.02,207.68
120,119.57
239.02,412.13
256.38,253.11
323.64,318.96
244.33,241.16
240.93,527.1
65.637,299.17
138.09,135.88
60.551,58.112
278.99,274.86
103.54,98.256
50.203,45.834
45.407,242.76
408.81,405.78
161.66,157.52
107.49,102.14
603.88,601.8
134.18,137.16
77.479,74.805
312.78,309.64
56.75,60.825
181.86,178.17
509.45,521.89
649.8,797.27
36.87,121.11
110.04,106.78
579.86,943.44
169.31,863.72
161.37,161.81
216.81,212.57
64.039,62.032
216.44,212.83
322,320.02
526.7,522.4
107.19,104.1
125.62,122.37
129.72,127.02
460.41,460.87
47.247,179.31
228.27,227.93
62.988,59.865
100.29,97.288
83.214,82.217
624.2,620.57
273.78,274.93
41.665,38.567
64.477,63.774
606.9,606.29
95.585,98.507
42.935,40.758
149.58,145.83
471.98,466.94
235.97,233.36
135.68,132.12
259.49,259.72
93.139,215.87
512.16,507.71
301.19,298.21
490.52,487.87
174.39,177.49
128.2,163.67
490.07,486.47
450.67,445.79
233.21,229.02
59.47,58.038
220.44,218.33
254.27,251.6
308.33,308.53
636.95,809.27
179.95,177.69
151.71,225.47
191.34,194.1
223.9,223.05
31.693,27.417
441.57,441.35
169.02,493.7
101.1,98.487
211.7,208.26
185.79,185.31
209.25,207.7
372.21,368.13
688.72,688.52
350.38,349.59
61.274,62.754
101.74,96.737
131.51,128.48
50.71,48.236
216.23,213.01
361.21,356.44
110.16,106.08
218.67,220.12
93.927,91.547
96.178,94.717
166.84,162.64
1370.8,1366.9
461.23,458.07
924.95,1019.9
331.1,330.79
360.53,425.92
92.667,88.747
79.283,76.664
368,363.65
270.24,265.3
54.057,50.683
466.42,463.13
307.38,308.3
21.489,18.977
